日期,查询词,搜索uv,搜索pv,曝光uv,曝光pv,点击uv,点击pv,曝光点击率,买家数,订单数,成交额,预测行业
2020-04-08,蔡徐坤c位出道2周年应援,8,24,8,59,1,1,1.69%,0,0,,文化玩乐
2020-04-08,CR会员店,8,9,4,30,0,0,,,,,服装鞋包
2020-04-08,耳环,8,18,7,289,3,6,2.08%,0,0,,美妆饰品
2020-04-08,时代少年团,8,9,9,52,0,0,,,,,文化玩乐
2020-04-08,陈立农娃娃,7,16,7,47,3,4,8.51%,0,0,,文化玩乐
2020-04-08,易烊千玺杂志,7,9,9,50,0,0,,,,,生活服务
2020-04-08,智族gq,7,11,7,34,0,0,,,,,生活服务
2020-04-08,NINEPERCENT,7,7,6,34,0,0,,,,,文化玩乐
2020-04-08,王嘉尔,7,9,7,52,0,0,,,,,文化玩乐
2020-04-08,肉肉丸啊,7,8,6,38,0,0,,,,,服装鞋包
2020-04-08,起泡胶1元,7,11,7,45,1,1,2.22%,0,0,,文化玩乐
2020-04-08,ninepercent,7,11,7,40,0,0,,,,,文化玩乐
2020-04-08,https://h5.weidian.com/v-components/evoke-app/index.html?mode=auto&ckey=CK1370358947618&cardtype=starPush&scheme=https%3A%2F%2Fvmspub.weidian.com%2Fgaia%2F36039%2Fe0d72074.html&wfr=dabang,7,14,8,44,0,0,,,,,
2020-04-08,大鼠条之家,7,9,6,31,0,0,,,,,服装鞋包
2020-04-08,生死狙击手游武器,7,8,7,42,1,1,2.38%,0,0,,游戏话费
2020-04-08,中牌制服馆,7,9,5,28,0,0,,,,,服装鞋包
2020-04-08,不加甜可可,7,8,7,34,0,0,,,,,美妆饰品
2020-04-08,ELLE杂志,7,10,7,78,1,2,2.56%,0,0,,生活服务
2020-04-08,手机壳,7,12,8,93,2,2,2.15%,0,0,,手机数码
2020-04-08,女爱 slime,7,18,5,28,1,1,3.57%,0,0,,手机数码
2020-04-08,吃兔兔吗,7,8,5,36,0,0,,,,,文化玩乐
2020-04-08,卡西欧,7,55,5,254,3,40,15.75%,0,0,,美妆饰品
2020-04-08,袜子,7,17,6,138,1,5,3.62%,0,0,,服装鞋包
2020-04-08,R1SE,7,8,7,51,0,0,,,,,文化玩乐
2020-04-08,帽子,7,12,6,42,0,0,,,,,服装鞋包
2020-04-08,木木三,7,7,4,4,0,0,,,,,服装鞋包
2020-04-08,极速支付,7,11,7,43,0,0,,,,,游戏话费
2020-04-08,口罩,7,12,5,98,2,3,3.06%,0,0,,家居建材
2020-04-08,限时狂想pb,7,11,7,41,0,0,,,,,文化玩乐
2020-04-08,面包农民,7,15,5,256,1,2,0.78%,0,0,,百货食品
2020-04-08,小仓鼠历险记,7,13,0,0,0,0,,,,,家居建材
2020-04-08,仓鼠笼,7,10,0,0,0,0,,,,,文化玩乐
2020-04-08,时代少年团周边,6,8,7,44,0,0,,,,,文化玩乐
2020-04-08,魔法m史莱姆。,6,11,8,49,1,2,4.08%,0,0,,手机数码
2020-04-08,蔡徐坤手幅,6,8,6,45,0,0,,,,,文化玩乐
2020-04-08,蓝希纯i,6,8,6,31,0,0,,,,,美妆饰品
2020-04-08,面包,6,10,6,75,2,2,2.67%,0,0,,百货食品
2020-04-08,流量卡 纯流量卡,6,14,5,45,2,5,11.11%,0,0,,游戏话费
2020-04-08,EXO,6,17,6,80,3,4,5.00%,0,0,,文化玩乐
2020-04-08,徽章,6,27,5,293,2,17,5.80%,0,0,,生活服务
2020-04-08,开店礼包,6,14,6,61,1,3,4.92%,0,0,,生活服务
2020-04-08,小海皮的杂货店,6,11,5,35,0,0,,,,,服装鞋包
2020-04-08,哎哟喂,6,10,5,30,0,0,,,,,百货食品
